good,slug,essay_title,reason
true,prop62,This Year We Can End the Death Penalty in California,"Content transformation appears clean with proper LaTeX formatting. The essay content is preserved accurately, the hyperlink is properly converted to LaTeX \href format, and no extraneous website elements like navigation, scripts, or advertisements made it through to the final output."
false,progbot,Programming Bottom-Up,Found promotional content that should not appear in the book Issues: Promotional text 'New: Download On Lisp for Free' appears in the LaTeX output and should be removed as it's not part of the essay content
true,lwba,Lisp for Web-Based Applications,"The LaTeX content appears to be a complete transformation of the original HTML content. The original HTML was minimal, containing only a brief introduction and a link to ASCII excerpts of a BBN talk. The LaTeX version contains the full text of that talk, which is appropriate for a book format. No navigation elements, advertisements, or non-essay content from the original HTML made it into the LaTeX. The content flows logically and maintains proper formatting throughout."
true,avg,Beating the Averages,"The LaTeX transformation appears to be clean and accurate. All meaningful content from the original HTML has been preserved, including the main essay text, footnotes, and proper formatting. The footnotes are correctly formatted in LaTeX syntax and match the content from the HTML. No advertisements, navigation elements, or non-essay content made it through to the final LaTeX version."
true,javacover,Java's Cover,"The LaTeX transformation successfully preserves all meaningful content from the original HTML. The essay content is complete with proper formatting, including the numbered list of 12 points about Java. No footnotes are present in either version. The navigation links and related articles at the bottom of the HTML have been appropriately excluded from the book version."
true,popular,Being Popular,"The LaTeX transformation appears complete and accurate. All meaningful content from the HTML has been preserved, including the two footnotes which are properly formatted with LaTeX syntax. The essay structure, formatting, and content integrity are maintained without any non-essay elements like navigation or advertisements."
true,langdes,Five Questions about Language Design,"The LaTeX transformation successfully preserves all meaningful content from the original HTML. The essay's structure is well-organized with clear section headings. All internal links are properly converted to LaTeX href format. The content flows logically from guiding philosophy through open problems, secrets, returning ideas, and pitfalls. No advertisements, navigation elements, or non-essay content appears in the final LaTeX."
false,rootsoflisp,The Roots of Lisp,"The LaTeX output appears to be incomplete - it only contains the introduction paragraph from the HTML, missing the main body of the essay. There are also several non-essay elements that should not appear in the book. Issues: The LaTeX output is severely truncated - it only includes the introductory paragraph but missing the main content of the essay; Translation links (Chinese, Japanese, Portuguese, Korean) are present in HTML but appropriately excluded from LaTeX; Links to 'Complete Article (Postscript)', 'What Made Lisp Different', and 'The Code' are present in HTML but missing from LaTeX - these may contain important essay content; The essay appears incomplete in the LaTeX version compared to what would be expected from a full Paul Graham essay"
true,road,The Other Road Ahead,"The LaTeX transformation appears to be accurate and complete. All meaningful content from the HTML has been preserved, including the main essay text, footnotes, and acknowledgments. The footnotes are properly formatted using LaTeX syntax and match the content from the HTML. No advertisements, navigation elements, or other non-essay content appears in the final LaTeX. The structure and formatting are appropriate for a book chapter."
true,diff,What Made Lisp Different,"Content transformation appears clean with all meaningful essay content preserved. The nine key ideas about Lisp are properly formatted and maintained. Code examples are preserved correctly. Navigation elements, scripts, and non-essay content have been appropriately removed."
false,noop,Why Arc Isn't Especially Object-Oriented,"The transformation is mostly clean but contains navigation elements and translation links that should not appear in a book format. Issues: Navigation link 'Rees Re: OO' appears at the end and should be removed for book format; Spanish Translation link appears and should be removed for book format; Links to other essays (reesoo.html, quotes.html) are preserved as href links which may not be appropriate for book format without proper cross-references"
false,taste,Taste for Makers,"The essay content appears to be properly transformed with all meaningful content preserved. However, there are several issues with footnotes and some non-essay content. Issues: Footnotes at the end are not properly formatted as LaTeX footnotes - they appear as regular text paragraphs instead of using \footnote{} syntax; Translation links and related non-essay navigation content from the original HTML made it through to the LaTeX (Japanese Translation, Chinese Translation, etc. links should be removed); Book advertisement content about 'Hackers & Painters' book appears in the LaTeX and should be removed as it's promotional material; The mathematical formula 'ei*pi = -1' should use proper LaTeX math formatting like $e^{i\pi} = -1$; Several href links in the text point to relative URLs that may not work in book context (pilate.html, womb.html, etc.)"
true,fix,What Languages Fix,"Content transformation is clean and accurate. All programming language descriptions from the HTML have been properly converted to LaTeX format with correct bold formatting. No footnotes, advertisements, or non-essay content detected. Translation links and navigation elements were appropriately removed."
